Date,Swap Value,Swaption Value,Swap PnL,Swaption PnL,Hedged PnL,Unhedged Value,Hedged Value
20111022,-63.8295,24.946,-0.0099,-0.0161,-0.01115,-21.575,9.72708
20111023,-63.8393,24.953,-0.0098,0.007,0.0119,-21.568,9.73898
20111024,-63.2188,25.0804,0.6205,0.1274,-0.18285,-21.4406,9.55613
20111025,-71.2296,22.7989,-8.0108,-2.2815,1.7239,-23.7221,11.28003
20111026,-65.1174,24.5759,6.1122,1.777,-1.2791,-21.9451,10.00093
20111027,-52.1131,28.1917,13.0043,3.6158,-2.88635,-18.3293,7.11458
20111028,-57.6965,26.3747,-5.5834,-1.817,0.9747,-20.1463,8.08928
20111029,-57.7062,26.3587,-0.0097,-0.016,-0.01115,-20.1623,8.07813
20111030,-57.7159,26.3612,-0.0097,0.0025,0.00735,-20.1598,8.08548
20111031,-70.4908,23.393,-12.7749,-2.9682,3.41925,-23.128,11.50473
20111101,-81.2667,21.8321,-10.7759,-1.5609,3.82705,-24.6889,15.33178
20111102,-79.713,21.7956,1.5537,-0.0365,-0.81335,-24.7254,14.51843
20111103,-72.2394,23.3532,7.4736,1.5576,-2.1792,-23.1678,12.33923
20111104,-74.8971,22.8879,-2.6577,-0.4653,0.86355,-23.6331,13.20278
20111105,-74.9094,22.8703,-0.0123,-0.0176,-0.01145,-23.6507,13.19133
20111106,-74.9217,22.8756,-0.0123,0.0053,0.01145,-23.6454,13.20278
20111107,-75.8982,23.0276,-0.9765,0.152,0.64025,-23.4934,13.84303
20111108,-72.8943,23.3136,3.0039,0.286,-1.21595,-23.2074,12.62708
20111109,-81.3908,21.2498,-8.4965,-2.0638,2.18445,-25.2712,14.81153
20111110,-77.0083,22.2951,4.3825,1.0453,-1.14595,-24.2259,13.66558
20111111,-78.2989,21.4812,-1.2906,-0.8139,-0.1686,-25.0398,13.49698
20111112,-78.3133,21.4633,-0.0144,-0.0179,-0.0107,-25.0577,13.48628
20111113,-78.3278,21.4658,-0.0145,0.0025,0.00975,-25.0552,13.49603
20111114,-77.0045,22.4234,1.3233,0.9576,0.29595,-24.0976,13.79198
20111115,-77.8863,21.0477,-0.8818,-1.3757,-0.9348,-25.4733,12.85718
20111116,-81.2534,21.0236,-3.3671,-0.0241,1.65945,-25.4974,14.51663
20111117,-86.6167,19.8558,-5.3633,-1.1678,1.51385,-26.6652,16.03048
20111118,-86.0506,19.9916,0.5661,0.1358,-0.14725,-26.5294,15.88323
20111119,-86.063,19.9747,-0.0124,-0.0169,-0.0107,-26.5463,15.87253
20111120,-86.0754,19.9781,-0.0124,0.0034,0.0096,-26.5429,15.88213
20111121,-90.0911,19.2758,-4.0157,-0.7023,1.30555,-27.2452,17.18768
20111122,-93.4625,18.3534,-3.3714,-0.9224,0.7633,-28.1676,17.95098
20111123,-96.1169,17.7547,-2.6544,-0.5987,0.7285,-28.7663,18.67948
20111124,-96.2871,17.9537,-0.1702,0.199,0.2841,-28.5673,18.96358
20111125,-91.2168,19.2094,5.0703,1.2557,-1.27945,-27.3116,17.68413
20111126,-91.2282,19.1949,-0.0114,-0.0145,-0.0088,-27.3261,17.67533
20111127,-91.2396,19.2002,-0.0114,0.0053,0.011,-27.3208,17.68633
20111128,-90.4066,18.9281,0.833,-0.2721,-0.6886,-27.5929,16.99773
20111129,-88.6505,19.5245,1.7561,0.5964,-0.28165,-26.9965,16.71608
20111130,-81.9315,20.9795,6.719,1.455,-1.9045,-25.5415,14.81158
20111201,-80.1595,20.787,1.772,-0.1925,-1.0785,-25.734,13.73308
20111202,-82.7746,20.1964,-2.6151,-0.5906,0.71695,-26.3246,14.45003
20111203,-82.7852,20.1818,-0.0106,-0.0146,-0.0093,-26.3392,14.44073
20111204,-82.7958,20.1852,-0.0106,0.0034,0.0087,-26.3358,14.44943
20111205,-84.5422,19.7379,-1.7464,-0.4473,0.4259,-26.7831,14.87533
20111206,-80.0288,20.6495,4.5134,0.9116,-1.3451,-25.8715,13.53023
20111207,-83.8192,19.8294,-3.7904,-0.8201,1.0751,-26.6916,14.60533
20111208,-87.0633,19.2547,-3.2441,-0.5747,1.04735,-27.2663,15.65268
20111209,-79.9135,21.5797,7.1498,2.325,-1.2499,-24.9413,14.40278
20111210,-79.9259,21.563,-0.0124,-0.0167,-0.0105,-24.958,14.39228
20111211,-79.9381,21.5652,-0.0122,0.0022,0.0083,-24.9558,14.40058
20111212,-83.0883,20.4341,-3.1502,-1.1311,0.444,-26.0869,14.84458
20111213,-87.9273,19.1511,-4.839,-1.283,1.1365,-27.3699,15.98108
20111214,-95.1985,17.4159,-7.2712,-1.7352,1.9004,-29.1051,17.88148
20111215,-93.1802,17.4881,2.0183,0.0722,-0.93695,-29.0329,16.94453
20111216,-96.2847,15.9603,-3.1045,-1.5278,0.02445,-30.5607,16.96898
20111217,-96.2998,15.9465,-0.0151,-0.0138,-0.00625,-30.5745,16.96273
20111218,-96.3144,15.9483,-0.0146,0.0018,0.0091,-30.5727,16.97183
20111219,-91.9612,19.4611,4.3532,3.5128,1.3362,-27.0599,18.30803
20111220,-91.975,17.4651,-0.0138,-1.996,-1.9891,-29.0559,16.31893
20111221,-88.8068,18.5488,3.1682,1.0837,-0.5004,-27.9722,15.81853
20111222,-90.6092,18.0057,-1.8024,-0.5431,0.3581,-28.5153,16.17663
20111223,-84.9146,19.6289,5.6946,1.6232,-1.2241,-26.8921,14.95253
20111224,-84.9285,19.606,-0.0139,-0.0229,-0.01595,-26.915,14.93658
20111225,-84.9423,19.6064,-0.0138,0.0004,0.0073,-26.9146,14.94388
20111226,-84.8536,19.3215,0.0887,-0.2849,-0.32925,-27.1995,14.61463
20111227,-87.4605,19.036,-2.6069,-0.2855,1.01795,-27.485,15.63258
20111228,-94.491,17.6258,-7.0305,-1.4102,2.10505,-28.8952,17.73763
20111229,-94.7811,17.5003,-0.2901,-0.1255,0.01955,-29.0207,17.75718
20111230,-95.8433,17.0663,-1.0622,-0.434,0.0971,-29.4547,17.85428
20111231,-95.8582,17.055,-0.0149,-0.0113,-0.00385,-29.466,17.85043
